;January;February;March;April;May;June;July;August;September;October;November;December;;;
Hawaii;Avocados, Carrots, Cucumbers, Lettuce, Oranges, Spinach, Sweet Potatoes, Tomatoes;Avocados, Carrots, Cucumbers, Lettuce, Oranges, Spinach, Sweet Potatoes, Tomatoes;Avocados, Carrots, Cucumbers, Lettuce, Oranges, Spinach, Sweet Potatoes, Tomatoes;Avocados, Carrots, Cucumbers, Lettuce, Oranges, Spinach, Sweet Potatoes, Tomatoes;Carrots, Cucumbers, Lettuce, Oranges, Spinach, Strawberries, Sweet Potatoes, Tomatoes;Carrots, Cucumbers, Lettuce, Oranges, Snap Peas, Spinach, Sweet Potatoes, Tomatoes;Carrots, Cucumbers, Lettuce, Oranges, Snap Peas, Spinach, Sweet Potatoes, Tomatoes;Carrots, Cucumbers, Lettuce, Oranges, Snap Peas, Spinach, Sweet Potatoes, Tomatoes;Avocados, Carrots, Cucumbers, Lettuce, Oranges, Snap Peas, Spinach, Sweet Potatoes, Tomatoes;Avocados, Carrots, Cucumbers, Lettuce, Oranges, Snap Peas, Spinach, Sweet Potatoes, Tomatoes;Avocados, Carrots, Cucumbers, Lettuce, Oranges, Snap Peas, Spinach, Sweet Potatoes, Tomatoes;Avocados, Carrots, Cucumbers, Lettuce, Oranges, Snap Peas, Spinach, Sweet Potatoes, Tomatoes;;;
Idaho;Apples;Apples;Apples;Apples;Apples;Apples, Snap Peas;Apples, Snap Peas;Apples, Snap Peas;Apples, Snap Peas;Apples, Snap Peas;Apples, Snap Peas;Apples, Snap Peas;;;
Illinois;growing season is dormant;growing season is dormant;growing season is dormant;Asparagus, Lettuce, Onions, Peas, Spinach;Asparagus, Cabbage, Cherries, Lettuce, Onions, Peas, Radishes, Rhubarb, Spinach, Squash, Strawberries;Apples, Asparagus, Cabbage, Carrots, Cherries, Eggplant, Lettuce, Nectarines, Okra, Onions, Peaches, Peas, Potatoes, Radishes, Rhubarb, Snap Peas, Spinach, Squash, Strawberries, Tomatoes, Turnips;Apples, Cabbage, Carrots, Cherries, Eggplant, Grapes, Nectarines, Okra, Onions, Peaches, Peas, Potatoes, Radishes, Rhubarb, Snap Peas, Squash, Tomatoes, Turnips;Apples, Carrots, Cauliflower, Cucumbers, Eggplant, Grapes, Lettuce, Nectarines, Okra, Onions, Peaches, Peas, Potatoes, Pumpkin, Radishes, Rhubarb, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Turnips;Apples, Cabbage, Carrots, Cauliflower, Cucumbers, Eggplant, Grapes, Lettuce, Nectarines, Okra, Onions, Peas, Potatoes, Pumpkin, Radishes, Rhubarb, Snap Peas, Squash, Turnips;Apples, Cabbage, Cauliflower, Cucumbers, Eggplant, Grapes, Lettuce, Okra, Onions, Peas, Potatoes, Pumpkin, Radishes, Rhubarb, Snap Peas, Squash, Sweet Potatoes, Tomatoes, Turnips;Apples, Cabbage, Onions, Peas, Potatoes, Pumpkin, Snap Peas, Squash, Sweet Potatoes;Snap Peas;;;
Indiana;growing season is dormant;growing season is dormant;growing season is dormant;Asparagus, Spinach;Asparagus, Peas, Spinach, Strawberries;Asparagus, Blueberries, Broccoli, Cabbage, Cherries, Cucumbers, Onions, Peas, Snap Peas, Spinach, Squash, Strawberries;Apples, Blackberries, Blueberries, Broccoli, Cabbage, Corn, Cucumbers, Eggplant, , Nectarines, Okra, Onions, Peaches, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Cabbage, Corn, Cucumbers, Eggplant, Grapes, , Nectarines, Okra, Onions, Peaches, Pears, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes;Apples, Broccoli, Cabbage, Cauliflower, Corn, Eggplant, Grapes, , Okra, Onions, Potatoes, Pumpkin, Snap Peas, Squash, Tomatoes;Apples, Broccoli, Cabbage, Cauliflower, , Pumpkin, Snap Peas;Broccoli, Cauliflower, Snap Peas;Snap Peas;;;
Iowa;Lettuce, Spinach;Lettuce, Spinach;Lettuce, Spinach;Lettuce, Spinach;Lettuce, Spinach;Blueberries, Broccoli, Cabbage, Carrots, Lettuce, Onions, Snap Peas, Spinach, Strawberries, Turnips;Apples, Blackberries, Blueberries, Broccoli, Cabbage, Carrots, Cucumbers, Grapes, Lettuce, Okra, Onions, Peaches, Potatoes, Raspberries, Snap Peas, Squash, Tomatoes, Turnips;Apples, Broccoli, Cabbage, Carrots, Cauliflower, Cucumbers, Eggplant, Grapes, Okra, Onions, Peaches, Pears, Potatoes, Raspberries, Snap Peas, Spinach, Squash, Tomatoes;Apples, Broccoli, Cabbage, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Grapes, Kale, Lettuce, Onions, Pears, Potatoes, Pumpkin, Raspberries, Snap Peas, Spinach, Squash, Tomatoes;Apples, Broccoli, Brussels Sprouts, Cabbage, Carrots, Celery, Kale, Lettuce, Onions, Potatoes, Pumpkin, Raspberries, Snap Peas, Spinach, Squash, Turnips;Broccoli, Brussels Sprouts, Cabbage, Carrots, Celery, Kale, Lettuce, Onions, Potatoes, Pumpkin, Snap Peas, Spinach, Squash, Turnips;Broccoli, Brussels Sprouts, Cabbage, Carrots, Celery, Kale, Lettuce, Onions, Potatoes, Pumpkin, Snap Peas, Spinach, Squash, Turnips;;;
Kansas;growing season is dormant;growing season is dormant;growing season is dormant;Lettuce, Radishes;Lettuce, Scallions, Spinach;Beets, Broccoli, Cabbage, Carrots, Cauliflower, Peas, Potatoes, Scallions, Snap Peas, Squash, Turnips;Broccoli, Cabbage, Corn, Cucumbers, Eggplant, , Potatoes, Snap Peas, Tomatoes;Corn, Cucumbers, Eggplant, , Onions, Snap Peas, Squash, Tomatoes;Beets, Cabbage, Carrots, Cauliflower, Eggplant, , Potatoes, Pumpkin, Radishes, Snap Peas, Squash, Sweet Potatoes, Tomatoes;Broccoli, Cabbage, Carrots, Cauliflower, Kale, Potatoes, Snap Peas, Spinach, Squash, Sweet Potatoes, Turnips;Snap Peas;Snap Peas;;;
Kentucky;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;Asparagus;Asparagus, Broccoli, Cherries, Potatoes, Rhubarb, Snap Peas;Apples, Apricots, Beets, Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Celery, Cherries, Cucumbers, Eggplant, Nectarines, Peas, Potatoes, Raspberries, Rhubarb, Snap Peas, Squash, Strawberries, Tomatoes, Turnips;Apples, Apricots, Asian Pears, Beets, Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Celery, Corn, Cucumbers, Eggplant, Nectarines, Pears, Peas, Potatoes, Raspberries, Rhubarb, Snap Peas, Squash, Strawberries, Tomatoes, Turnips;Apples, Asian Pears, Beets, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cucumbers, Eggplant, Pears, Potatoes, Pumpkin, Raspberries, Snap Peas, Squash, Tomatoes, Turnips;Apples, Asian Pears, Brussels Sprouts, Cabbage, Carrots, Pumpkin, Snap Peas, Squash;Cabbage, Carrots, Snap Peas;Snap Peas;;;
Louisiana;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;Kale, Lettuce, Okra, Onions, Pears, Peas, Potatoes, Snap Peas, Squash, Tomatoes;Apples, Beets, Blackberries, Blueberries, Cantaloupe, Corn, Cucumbers, Eggplant, Grapes, Kale, Lettuce, Nectarines, Okra, Onions, Peaches, Pears, Peas, Potatoes, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Blackberries, Blueberries, Cantaloupe, Corn, Cucumbers, Eggplant, Grapes, Kale, Lettuce, Nectarines, Okra, Onions, Peaches, Pears, Peas, Potatoes, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Corn, Cucumbers, Eggplant, Grapefruit, Grapes, Kale, Lettuce, Nectarines, Okra, Onions, Oranges, Peaches, Pears, Peas, Potatoes, Pumpkin, Radishes, Rutabaga, Snap Peas, Spinach, Squash, Sweet Potatoes, Turnips, Watermelon;Apples, Broccoli, Cabbage, Carrots, Cauliflower, Grapefruit, Kale, Lettuce, Okra, Onions, Oranges, Pears, Peas, Potatoes, Pumpkin, Radishes, Rutabaga, Snap Peas, Spinach, Squash, Sweet Potatoes, Tomatoes, Turnips;Broccoli, Cabbage, Carrots, Cauliflower, Grapefruit, Kale, Lettuce, Okra, Onions, Oranges, Pears, Peas, Potatoes, Pumpkin, Radishes, Rutabaga, Snap Peas, Spinach, Squash, Tomatoes, Turnips;Snap Peas;;;
Maine;Apples, Beets, Cabbage, Carrots, Onions, Potatoes, Rutabaga, Squash;Apples, Beets, Cabbage, Carrots, Onions, Potatoes, Rutabaga, Squash;Apples, Beets, Cabbage, Carrots, Onions, Potatoes, Squash;Apples, Lettuce, Onions, Potatoes, Pumpkin, Radishes, Scallions;Apples, Asparagus, Carrots, Lettuce, Potatoes, Pumpkin, Radishes, Rhubarb, Scallions, Spinach, Tomatoes;Apples, Asparagus, Broccoli, Cabbage, Carrots, Cucumbers, Lettuce, Peas, Potatoes, Pumpkin, Radishes, Scallions, Snap Peas, Spinach, Strawberries, Tomatoes;Apples, Beets, Blueberries, Broccoli, Cabbage, Carrots, Corn, Cucumbers, Eggplant, Lettuce, Onions, Peas, Potatoes, Pumpkin, Radishes, Raspberries, Scallions, Snap Peas, Squash, Strawberries, Tomatoes;Apples, Beets, Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Corn, Cucumbers, Eggplant, Lettuce, Onions, Pears, Peas, Potatoes, Pumpkin, Radishes, Scallions, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Corn, Cucumbers, Eggplant, Grapes, Lettuce, Onions, Pears, Potatoes, Radishes, Rutabaga, Scallions, Snap Peas, Spinach, Squash, Strawberries, Tomatoes, Watermelon;Apples, Beets, Brussels Sprouts, Cabbage, Carrots, Cauliflower, Grapes, Lettuce, Onions, Potatoes, Rutabaga, Snap Peas, Spinach, Squash, Tomatoes;Apples, Beets, Cabbage, Carrots, Lettuce, Onions, Potatoes, Rutabaga, Snap Peas, Squash;Apples, Beets, Cabbage, Carrots, Lettuce, Onions, Potatoes, Rutabaga, Snap Peas, Squash;;;
Maryland;growing season is dormant;growing season is dormant;growing season is dormant;Asparagus;Asparagus, Spinach, Strawberries;Blueberries, Cabbage, Cherries, Corn, Raspberries, Snap Peas, Squash, Strawberries;Beets, Blackberries, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Corn, Cucumbers, Eggplant, , Nectarines, Okra, Peaches, Potatoes, Snap Peas, Squash, Tomatoes, Watermelon;Apples, Beets, Broccoli, Cabbage, Cantaloupe, Carrots, Corn, Cucumbers, Eggplant, Grapes, , Nectarines, Okra, Peaches, Pears, Potatoes, Snap Peas, Squash, Tomatoes, Turnips, Watermelon;Apples, Broccoli, Grapes, Peaches, Pears, Potatoes, Pumpkin, Raspberries, Snap Peas, Squash, Sweet Potatoes, Turnips, Watermelon;Apples, Broccoli, Pumpkin, Snap Peas, Sweet Potatoes, Turnips;Pumpkin, Snap Peas;Snap Peas;;;
Massachusetts;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;growing season is dormant;Beets, Cabbage, Cauliflower, Cucumbers, Lettuce, Peas, Radishes, Snap Peas, Spinach;Beets, Blueberries, Cabbage, Carrots, Cauliflower, Cucumbers, Kale, Lettuce, Onions, Peas, Potatoes, Radishes, Snap Peas, Spinach, Squash, Strawberries;Apples, Beets, Blueberries, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cucumbers, Eggplant, Kale, Lettuce, Onions, Peaches, Peas, Potatoes, Radishes, Raspberries, Snap Peas, Spinach, Squash, Tomatoes, Turnips, Watermelon;Apples, Beets, Broccoli, Cabbage, Cauliflower, Celery, Eggplant, Kale, Lettuce, Onions, Peaches, Peas, Potatoes, Pumpkin, Radishes, Raspberries, Snap Peas, Spinach, Squash, Tomatoes, Turnips, Watermelon;Apples, Cabbage, Kale, Lettuce, Onions, Potatoes, Pumpkin, Snap Peas, Squash, Turnips;Kale, Snap Peas;Snap Peas;;;
